time[s],gyro_x[deg/s],gyro_y[deg/s],gyro_z[deg/s],height[m]
0,51.64452489,43.83912085,48.70702757,0
0.17,-44.0908785,0.055977977,-4.616091772,-1.455317492
0.29,-32.84434724,36.59321009,31.66932539,-0.964722833
0.42,14.49182151,-39.58668539,28.03241849,0.50718591
0.54,-21.54189529,-31.72530337,49.26652086,1.978411776
0.66,-31.97706103,21.23410237,31.22173076,4.263489372
0.78,29.34729934,-43.64328387,-0.251814951,6.962481035
0.9,52.76356876,40.28609497,-25.29070085,9.908503893
1.03,-2.126189082,2.182167059,-50.581459,13.09913407
1.2,-50.02190842,-27.22111026,-12.67331077,18.25703397
1.32,-35.78190186,25.5425158,-12.16973816,22.67980005
1.45,22.85677614,39.53070741,-20.78650774,26.85749245
1.57,-28.78774875,-23.41626942,-4.9238847,31.52954575
1.69,41.15338118,-13.73643396,52.90348506,36.94092156
1.81,12.36557513,-20.73052976,31.10983211,42.67790295
1.93,-24.47939261,8.868527232,-49.32249884,49.0773253
2.11,18.29660505,-54.0785069,25.17880219,58.76401219
2.23,-20.17103647,-54.88981514,7.693505386,65.42006457
2.35,-34.97059362,28.22825547,32.172898,73.14362606
2.47,-53.26719866,-48.14747699,-28.08833917,81.28939829
2.59,-10.49114371,36.03365951,-11.66616555,90.01145099
2.71,-20.17103647,9.67983547,-50.38562202,99.15780713
2.83,-48.70702757,26.35382404,42.664099,108.3887495
2.95,8.616769577,45.15400169,37.79619228,118.2917705
3.12,40.090258,54.33026456,10.37924505,131.9989156
3.24,56.76424657,5.371479329,-55.25347145,142.4949312
3.36,46.27304556,-25.29070085,-7.917359996,152.7509453
3.48,25.29070085,20.17103647,19.24782958,163.9349734
3.6,21.79365295,-7.805404043,25.43061715,175.2049964
3.72,-3.497047903,37.65633328,-47.19625246,187.1576005
3.84,-48.14747699,9.67983547,-20.03112018,199.1968018
3.96,55.14157279,6.994095805,56.09279733,211.4223927
4.13,-21.79365295,-26.6055817,4.196457483,228.7357213
4.25,-1.622616476,-55.14157279,-48.70702757,242.3197593
4.37,47.0843538,24.17165698,46.83259615,257.0953561
4.49,-15.0513148,-0.559550583,6.74233815,271.639552
4.61,-14.79955714,2.182167059,22.80079816,287.7844446
4.73,-46.52486051,-23.10853379,-43.5873059,302.6176372
4.85,-9.372099838,-51.08503161,-12.86914774,318.5537001
5.03,12.92512572,-32.78842656,-13.93227093,340.9946124
5.15,41.71287447,39.02713481,-2.629761688,357.9174708
5.27,21.29008034,-23.91984203,21.84963093,373.9282605
5.39,-30.91399513,57.01600422,-21.17818169,392.4197922
5.51,18.29660505,-15.10729278,14.54774219,410.6866499
5.63,33.34791985,32.22887598,37.15276068,428.4741165
5.75,-9.67983547,19.0519926,-50.27366607,446.110087
5.87,-18.24062707,-20.17103647,-24.92704454,465.2275785
6.04,40.64980858,23.41626942,57.0719822,491.02335
6.16,55.95293833,-30.15860757,5.679214961,510.2160723
6.28,55.14157279,38.71939918,-54.58207951,529.4401568
6.4,21.79365295,-2.433924714,2.685739665,547.2312416
6.53,5.371479329,51.08503161,46.83259615,565.2316469
6.65,-50.581459,-52.76356876,54.94573582,583.5179133
6.77,22.0454679,38.46764152,-8.728668234,601.9098369
6.89,-28.22825547,-40.34207295,-11.66616555,619.2206911
7.06,-19.0519926,23.10853379,-54.52610153,643.0342177
7.18,26.10200909,3.245290247,48.39929194,661.706238
7.3,21.79365295,-48.95878523,40.90156623,678.6653255
7.42,31.22173076,29.59911429,45.71355228,696.0940388
7.54,-31.72530337,10.74295866,12.86914774,712.2463916
7.66,48.95878523,22.60496119,-30.46634321,729.2062897
7.79,50.581459,20.98234471,48.39929194,745.4065995
7.91,-11.30250924,15.86262304,23.36034874,763.0152742
8.07,-27.72468286,37.65633328,-27.27703094,785.0365125
8.19,2.685739665,-34.15922808,47.22427009,801.5809912
8.31,-41.15338118,1.622616476,4.756008066,818.4889596
8.43,36.59321009,-1.063123189,7.749483362,835.2702827
8.56,33.90747043,-33.65565548,10.49114371,851.1738078
8.68,30.41042253,-47.89571933,-43.78314287,868.0814095
8.8,21.79365295,-13.42869832,-25.29070085,884.7495416
8.97,2.433924714,-46.77661817,50.0778291,905.2320661
9.09,50.581459,-33.90747043,-17.98886941,920.3635813
9.22,49.77009347,53.26719866,-31.22173076,934.983424
9.34,2.433924714,-23.66808438,-46.58078119,949.6229463
9.46,-25.29070085,0.811308238,-53.07136169,964.5493022
9.58,54.0785069,36.59321009,21.73773227,979.0366517
9.7,-36.59321009,-52.45583313,20.1150585,993.4678944
9.83,-5.371479329,-36.84496775,-25.34667883,1007.113604
10,-4.560171091,-50.83321665,24.67522959,1026.215846
10.12,44.65042909,15.86262304,-5.175642355,1039.098897
10.24,56.76424657,-52.70764808,-30.71815816,1052.343051
10.36,49.77009347,18.5483627,-51.95226052,1065.177609
10.48,-51.64452489,48.70702757,-12.92512572,1077.83629
10.6,-54.33026456,46.52486051,-42.77599766,1090.04998
10.73,-40.34207295,33.09616219,-48.70702757,1102.467608
10.85,-55.14157279,50.83321665,8.5607916,1114.433995
11.01,3.497047903,-33.34791985,-17.54121749,1129.587846
11.13,-51.64452489,48.14747699,47.02843312,1141.313781
11.25,6.994095805,-32.53661161,-37.71225396,1152.705452
11.37,55.95293833,-14.79955714,-5.427457306,1163.293296
11.5,-55.14157279,-53.51895632,41.90871145,1174.436569
11.62,-17.48529681,49.77009347,20.1150585,1185.121921
11.74,-34.15922808,7.805404043,-2.741717641,1195.469944
11.91,-52.45583313,-15.86262304,-48.20345497,1209.373656
12.03,-11.30250924,34.97059362,0.755387557,1219.00193
12.15,-48.14747699,-50.83321665,44.34269346,1228.562567
12.28,-11.30250924,-55.95293833,5.875051935,1238.132672
12.4,-49.77009347,-16.67398857,55.89696035,1247.511587
12.52,-39.27894976,26.10200909,-43.89504153,1256.825145
12.65,35.78190186,27.16513228,51.33678926,1265.048455
12.77,-6.182787567,-55.39338775,51.08503161,1274.376175
12.94,-22.85677614,-40.90156623,7.245910756,1285.910472
13.06,-14.79955714,-52.70764808,41.15338118,1294.23123
13.18,55.14157279,38.46764152,-25.0389432,1301.933877
13.31,-6.994095805,-18.29660505,32.78842656,1309.091115
13.43,41.15338118,-43.02781261,-50.32964405,1316.60351
13.55,-20.98234471,13.98824891,56.45651093,1324.046434
13.67,-7.805404043,23.66808438,-44.95816472,1330.942395
13.79,-27.97644052,-9.67983547,-44.95816472,1337.290381
13.93,-4.30835614,-16.67398857,45.15400169,1345.02438
14.05,-47.0843538,-24.47939261,26.85739665,1351.732985
14.18,-25.29070085,-17.48529681,3.189312271,1358.370857
14.3,-41.96468942,-36.84496775,38.97121413,1364.181855
14.42,-42.77599766,-37.65633328,23.36034874,1369.79436
14.54,-21.79365295,-14.79955714,41.65695379,1375.611885
14.67,26.35382404,0,48.6510496,1381.433333
14.83,-14.79955714,-38.46764152,0.503572606,1388.643638
14.96,8.868527232,48.14747699,20.67460908,1393.638348
15.08,36.03365951,-41.96468942,0.503572606,1398.714628
15.2,-11.30250924,34.97059362,29.29132136,1403.159361
15.32,-18.29660505,10.49114371,17.98886941,1407.605347
15.44,-8.616769577,26.35382404,-33.65565548,1411.774293
15.56,-26.10200909,41.15338118,49.46235783,1415.947434
15.73,26.35382404,-0.811308238,38.97121413,1421.03013
15.85,-36.59321009,-26.10200909,-55.44930843,1425.204602
15.98,-5.119664378,54.33026456,0.503572606,1428.82495
16.1,-42.77599766,34.97059362,-30.15860757,1432.167141
16.22,39.53070741,-45.46173733,-37.15276068,1435.307813
16.34,-46.27304556,-7.805404043,30.91399513,1438.298369
16.47,37.65633328,12.36557513,30.10268689,1441.365178
16.59,2.685739665,55.14157279,57.26781917,1443.950836
16.76,-9.428077815,43.83912085,-44.14685648,1447.576703
16.88,-22.60496119,-1.622616476,-12.67331077,1450.088018
17,20.17103647,15.86262304,-4.867906723,1452.321042
17.12,-25.29070085,-4.30835614,-1.370858821,1454.554063
17.25,-33.09616219,33.34791985,36.28547446,1456.508547
17.37,-40.090258,-26.10200909,15.30312975,1457.904669
17.49,-12.11381748,53.51895632,22.29722556,1459.301082
17.61,36.84496775,22.0454679,-39.83850034,1460.773104
17.78,-53.26719866,-11.30250924,39.78252236,1462.653363
17.9,-33.09616219,-8.616769577,1.314880844,1463.49208
18.02,15.86262304,1.063123189,43.27957027,1464.684859
18.14,-7.805404043,-16.42217362,11.80608185,1465.243876
18.26,54.33026456,-40.90156623,15.30312975,1465.802326
18.39,-39.27894976,-5.119664378,46.77661817,1466.082111
18.51,29.85087194,54.33026456,-15.35905043,1466.641305
18.68,-28.78774875,-37.40451833,-56.51243162,1466.361405
18.8,-13.98824891,30.91399513,-49.51833581,1466.361405
18.92,-48.95878523,-9.428077815,-11.86200253,1466.082111
19.05,-39.27894976,50.83321665,12.61739009,1465.523047
19.17,47.33616875,52.70764808,57.26781917,1464.964015
19.29,-42.77599766,51.89633984,-22.35320353,1464.125873
19.41,35.47416622,-53.51895632,32.39675261,1459.655595
19.53,-57.26781917,26.6055817,-35.39022791,1430.925448
19.7,8.448892943,-34.91461564,-1.650634112,1360.409878
19.82,10.99477361,49.12666186,-51.56058658,1381.811623
19.94,-29.15146236,4.140536802,8.197077992,1434.56851
20.07,9.2042805,41.74089211,-52.9314454,1465.898411
20.19,29.76693363,-45.82545093,-3.497047903,1464.85578
20.31,31.5294664,1.398819161,-41.43315648,1465.769434
20.43,-26.68952001,21.37401866,-32.90032522,1453.834557
20.55,17.26149949,-49.04272354,56.87614522,1455.584678
20.71,-14.63168051,0.867286214,-54.97375346,1458.452454
20.83,-52.7915864,-20.98234471,-11.9179805,1460.686731
20.96,-0.727369921,53.79873161,-55.36542741,1460.762145
21.08,45.34983867,-53.60289464,28.06037883,1459.08593
21.2,23.24845009,36.3134348,-25.20676253,1455.17694
21.32,24.22763496,-22.71685984,-3.497047903,1449.036668
21.44,52.81954674,43.27957027,-41.57301547,1447.716989
21.61,-6.238765544,27.16513228,20.98234471,1445.560779
21.73,-8.5607916,25.0389432,-32.70448824,1445.560779
21.85,5.175642355,-43.83912085,-41.34921816,1444.444951
21.98,-54.52610153,38.3837032,-17.06566252,1442.772037
22.1,-19.83528321,41.57301547,-25.96215009,1441.453175
22.22,-31.44552808,45.6575743,-18.80017765,1440.134485
22.34,-35.55804724,-27.72468286,-53.99456858,1439.297704
22.46,41.62899345,-43.08373329,-41.82477313,1437.068149
22.63,33.82353211,29.79495126,19.72338455,1435.396354
22.75,-56.84818488,7.245910756,-23.3323884,1435.396354
22.87,-3.776823194,-57.01600422,46.9444948,1432.888684
22.99,-17.45733647,21.17818169,29.68299531,1429.749358
23.11,25.82229109,-56.87614522,42.27242505,1427.446738
23.23,-15.44298875,52.6516701,24.31151598,1426.33231
23.35,18.71623934,48.70702757,-29.87883228,1424.309694
23.47,-56.2886343,-45.96530993,-14.01620925,1422.082841
23.59,-24.75916791,-45.71355228,-35.58606488,1422.082841
23.72,-9.400117474,-28.84372673,-19.89126118,1421.526105
23.84,-34.18724572,-47.44806741,-17.87697076,1419.022462
23.96,-38.49560186,-49.32249884,36.50927178,1415.405614
24.08,48.62308926,25.48653783,14.43584354,1412.550107
24.2,54.49814119,-16.42217362,48.25937565,1410.04749
24.32,-47.16829212,-33.85149245,-53.04334405,1407.546679
24.49,19.52754757,34.77475664,54.91777548,1407.193392
24.61,-28.75978841,-12.81322706,3.944699828,1407.546679
24.73,-18.21266673,9.316179157,24.64726925,1406.434932
24.85,18.77221731,-54.49814119,-46.69267985,1403.100025
24.97,-9.456038155,14.18408588,54.74989885,1398.656012
25.09,-5.455417646,50.27366607,-11.49834622,1396.158007
25.21,-12.75724908,-15.86262304,-9.959610761,1393.381637
25.33,-16.31027496,2.48990269,-38.3837032,1392.549893
25.5,12.1977558,28.64788976,-22.99663514,1393.179261
25.62,-54.24632624,17.56923513,-36.53723212,1391.161464
25.74,-37.29261967,13.26082169,19.58352555,1387.352865
25.86,40.76170724,-32.34077463,-50.44154271,1382.084946
25.98,52.31597413,32.033039,-52.0082385,1378.758616
26.1,-29.99078824,-41.09740321,24.19961732,1377.095217
26.22,53.68683295,-29.23540068,5.679214961,1377.92629
26.38,-49.99394808,-2.322026056,-45.29386069,1375.432782
26.51,-40.25813463,-46.32902354,-25.85025143,1372.460696
26.63,-35.8098622,-41.32120052,-44.11889614,1369.968526
26.75,-40.48193194,11.19061058,31.22173076,1366.646156
26.87,23.27641043,-54.0785069,-25.85025143,1362.494396
26.99,43.25160993,-23.36034874,-55.72908372,1360.557941
27.11,14.2679669,3.245290247,-44.28671548,1359.375571
27.23,-26.3258637,-50.0778291,50.13380707,1358.82236
27.39,21.20614203,48.03557833,3.189312271,1355.226774
27.51,-28.31219378,47.53200573,-22.35320353,1351.909306
27.64,-47.42010707,-55.70112338,21.12220371,1349.144885
27.76,-14.01620925,39.83850034,-48.39929194,1347.763547
27.88,41.18134153,16.11443799,16.61801059,1346.934341
28,-37.93605128,14.43584354,-39.19501144,1347.210374
28.12,15.8346627,52.6516701,-31.86516237,1345.478247
28.24,20.14307613,52.39991245,-2.517863031,1340.857396
28.41,-53.04334405,-11.86200253,48.76294825,1336.439294
28.53,27.69666523,-19.35972824,54.74989885,1335.812243
28.65,3.776823194,-51.44868792,49.35045918,1335.611598
28.77,-0.02796034,36.48131144,14.9114558,1333.679062
28.89,-3.832801171,-34.52294169,-1.874431427,1331.396225
29.01,41.62899345,-17.79303244,-54.2183659,1328.361333
29.13,-26.94133496,-55.70112338,44.93020438,1325.052491
29.3,-8.085179334,30.91399513,18.35258302,1322.020073
29.42,47.61594404,23.36034874,-34.46702101,1321.74472
29.54,-53.54691666,-3.049453273,37.20868136,1320.365905
29.66,8.840566892,7.44174773,23.02459548,1317.334288
29.78,-37.99202925,54.27434388,-1.650634112,1313.752698
29.9,-32.06099934,-21.54189529,-22.26926521,1310.173049
30.03,-15.07933244,-38.21582657,53.71479329,1308.445424
30.15,56.48447128,-28.28417615,46.07720859,1308.520895
30.32,28.75978841,-4.364334117,47.97960036,1306.794041
30.44,-5.147682015,0.195836974,51.56058658,1303.84188
30.56,-32.06099934,-49.82607144,-23.77998303,1301.089847
30.68,56.4284933,19.86330084,46.86055649,1299.439748
30.8,45.93734959,48.90286455,-20.6186311,1297.239343
30.92,32.20091564,-1.370858821,50.49752068,1294.964039
31.04,-0.02796034,-21.29008034,13.34476001,1293.039169
